total_en_pageviews.page,total_en_pageviews.total_views
List_of_United_States_presidential_firsts,25447
Jason_Segel,25326
Pete_Buttigieg,25270
List_of_UFC_events,25270
George_VI,25251
Adolf_Hitler,25195
Drivers_License_(song),25192
Mario_Mandžukić,25185
Jared_Porter,25151
Tiger_King,25142
Tony_Goldwyn,25127
Walter_Mondale,25060
Avril_Haines,25037
Charlotte_Pence_Bond,25032
Wonder_Woman_1984,25026
Woodrow_Wilson,24898
James_Earl_Ray,24723
B-cell_lymphoma,24666
Steny_Hoyer,24657
Ben_Affleck,24620
Edward_VIII,24611
Kobe_Bryant,24609
Foundations_of_Geopolitics,24510
Montel_Williams,24459
Tipper_Gore,24326
Gigi_Gorgeous,24317
Superstore_(TV_series),24310
Khabib_Nurmagomedov,24294
Alexei_Navalny,24287
Barbara_Bush,24156
Nats_Getty,23449
Dua_Lipa,23377
Paris_Agreement,23371
Resolute_desk,23270
Dakota_Johnson,23223
U.S._state,23106
Trisha_Yearwood,23020
List_of_presidents_of_the_United_States_by_net_worth,22950
Shubman_Gill,22892
COVID-19_vaccine,22886
Tenet_(film),22841
XXXTentacion,22773
Lucille_Ball,22712
United_States_Secret_Service,22685
List_of_current_United_States_senators,22674
Mesut_Özil,22642
Michael_Chandler,22567
Sex,22549
National_League_of_Families_POW/MIA_Flag,22460
Proud_Boys,22443
HTTP_cookie,22408
Ariana_Grande,22405
List_of_Marvel_Cinematic_Universe_films,22268
Calvin_Coolidge,22129
Spanish_flu,22084
Pablo_Escobar,22028
Colin_Powell,21979
Pop_Smoke,21976
Schitt's_Creek,21921
Template:COVID-19_pandemic_data,21908
World_War_II_casualties,21905
Ted_Cruz,21865
The_Serpent_(TV_series),21797
Special:RecentChanges,21778
John_McCain,21721
Special:Watchlist,21684
William_McKinley,21670
Cinderella_(2015_Disney_film),21652
Michael_Jackson,21519
Woody_Guthrie,21460
Dianne_Feinstein,21426
2024_United_States_presidential_election,21294
Arnold_Schwarzenegger,21178
Alejandro_Mayorkas,21063
WhatsApp,21061
Max_Holloway,21059
James_A._Garfield,21046
Edinson_Cavani,20974
Mahatma_Gandhi,20882
American_Revolutionary_War,20832
Hibernation,20820
Martial_law,20692
Ted_Bundy,20682
Washington_Sundar,20680
Doris_Kearns_Goodwin,20647
George_Conway,20636
Thurgood_Marshall,20548
Don_Lemon,20491
Dan_Levy_(Canadian_actor),20474
Soul_(2020_film),20401
I_Am_Legend_(film),20357
Jerome_Adams,20275
Assassination_of_John_F._Kennedy,20272
Paul_Bettany,20205
Ken_Jennings,20198
Coronavirus_disease_2019,20188
William_Zabka,20172
Impeachment_in_the_United_States,20157
Leonardo_DiCaprio,20156
